gender,situation,tea,coffee,height,weight,age,meat,fish,raw_fruit,cooked_fruit_veg,chocol,fat,meat_label,fish_label,raw_fruit_label,cooked_fruit_veg_label,chocol_label,gender_label,situation_label,fat_label
2,1,0,0,151.0,58.0,72,4,3,1,4,5,6,4-6 times a week,2-3 times a week,Less than once a week,4-6 times a week,Everyday,Female,Single,Mix of vegetable oils (eg. Isio4)
2,1,1,1,162.0,60.0,68,5,2,5,5,1,4,Everyday,Once a week,Everyday,Everyday,Less than once a week,Female,Single,Sunflower oil
2,1,0,4,162.0,75.0,78,3,1,5,2,5,4,2-3 times a week,Less than once a week,Everyday,Once a week,Everyday,Female,Single,Sunflower oil
2,1,0,0,154.0,45.0,91,0,4,4,0,3,2,Never,4-6 times a week,4-6 times a week,Never,2-3 times a week,Female,Single,Margarine
2,1,2,1,154.0,50.0,65,5,3,5,5,3,2,Everyday,2-3 times a week,Everyday,Everyday,2-3 times a week,Female,Single,Margarine
2,1,2,0,159.0,66.0,82,4,2,5,5,1,3,4-6 times a week,Once a week,Everyday,Everyday,Less than once a week,Female,Single,Peanut oil
2,1,2,0,160.0,66.0,74,3,3,5,5,5,6,2-3 times a week,2-3 times a week,Everyday,Everyday,Everyday,Female,Single,Mix of vegetable oils (eg. Isio4)
2,1,0,2,163.0,66.0,73,4,2,5,5,1,6,4-6 times a week,Once a week,Everyday,Everyday,Less than once a week,Female,Single,Mix of vegetable oils (eg. Isio4)
2,1,0,3,154.0,60.0,89,4,3,5,5,5,6,4-6 times a week,2-3 times a week,Everyday,Everyday,Everyday,Female,Single,Mix of vegetable oils (eg. Isio4)
2,1,0,2,160.0,77.0,87,2,3,5,4,0,3,Once a week,2-3 times a week,Everyday,4-6 times a week,Never,Female,Single,Peanut oil
2,1,0,2,175.0,68.0,91,5,2,5,5,5,3,Everyday,Once a week,Everyday,Everyday,Everyday,Female,Single,Peanut oil
2,1,2,0,165.0,75.0,81,5,2,2,3,0,6,Everyday,Once a week,Once a week,2-3 times a week,Never,Female,Single,Mix of vegetable oils (eg. Isio4)
2,1,0,3,158.0,53.0,89,4,2,5,5,5,4,4-6 times a week,Once a week,Everyday,Everyday,Everyday,Female,Single,Sunflower oil
2,1,2,0,155.0,63.0,79,3,1,5,3,2,4,2-3 times a week,Less than once a week,Everyday,2-3 times a week,Once a week,Female,Single,Sunflower oil
2,1,0,2,154.0,80.0,83,3,3,5,5,1,3,2-3 times a week,2-3 times a week,Everyday,Everyday,Less than once a week,Female,Single,Peanut oil
1,1,0,3,166.0,80.0,78,5,0,5,3,0,4,Everyday,Never,Everyday,2-3 times a week,Never,Male,Single,Sunflower oil
2,1,0,2,159.0,57.0,74,3,2,5,3,1,4,2-3 times a week,Once a week,Everyday,2-3 times a week,Less than once a week,Female,Single,Sunflower oil
2,1,0,2,157.0,55.0,74,3,2,5,5,2,3,2-3 times a week,Once a week,Everyday,Everyday,Once a week,Female,Single,Peanut oil
1,1,0,1,165.0,57.0,78,5,2,5,5,5,4,Everyday,Once a week,Everyday,Everyday,Everyday,Male,Single,Sunflower oil
2,1,0,0,156.0,90.0,78,5,1,5,5,2,4,Everyday,Less than once a week,Everyday,Everyday,Once a week,Female,Single,Sunflower oil
1,2,0,1,175.0,90.0,73,5,1,5,3,2,8,Everyday,Less than once a week,Everyday,2-3 times a week,Once a week,Male,Living with spouse,Duck or goose fat
2,2,2,2,161.0,68.0,76,4,2,5,5,1,1,4-6 times a week,Once a week,Everyday,Everyday,Less than once a week,Female,Living with spouse,Butter
1,2,2,2,168.0,83.0,85,4,2,5,5,1,1,4-6 times a week,Once a week,Everyday,Everyday,Less than once a week,Male,Living with spouse,Butter
1,1,0,4,168.0,90.0,73,3,2,4,5,0,3,2-3 times a week,Once a week,4-6 times a week,Everyday,Never,Male,Single,Peanut oil
2,2,3,1,156.0,56.0,77,3,2,5,3,0,4,2-3 times a week,Once a week,Everyday,2-3 times a week,Never,Female,Living with spouse,Sunflower oil
1,2,3,2,170.0,70.0,74,3,2,5,3,0,4,2-3 times a week,Once a week,Everyday,2-3 times a week,Never,Male,Living with spouse,Sunflower oil
2,1,0,0,162.0,58.0,67,4,3,5,5,0,3,4-6 times a week,2-3 times a week,Everyday,Everyday,Never,Female,Single,Peanut oil
1,2,4,5,172.0,80.0,68,5,3,5,5,5,5,Everyday,2-3 times a week,Everyday,Everyday,Everyday,Male,Living with spouse,Olive oil
2,1,1,1,165.0,75.0,69,4,3,5,5,5,3,4-6 times a week,2-3 times a week,Everyday,Everyday,Everyday,Female,Single,Peanut oil
1,2,0,2,171.0,81.0,71,4,2,5,5,5,3,4-6 times a week,Once a week,Everyday,Everyday,Everyday,Male,Living with spouse,Peanut oil
2,2,0,1,160.0,54.0,67,4,4,5,3,2,4,4-6 times a week,4-6 times a week,Everyday,2-3 times a week,Once a week,Female,Living with spouse,Sunflower oil
1,2,0,3,176.0,82.0,76,3,3,3,5,5,6,2-3 times a week,2-3 times a week,2-3 times a week,Everyday,Everyday,Male,Living with spouse,Mix of vegetable oils (eg. Isio4)
1,2,0,3,164.0,53.0,69,5,3,5,5,1,5,Everyday,2-3 times a week,Everyday,Everyday,Less than once a week,Male,Living with spouse,Olive oil
2,2,1,2,156.0,58.0,67,5,3,5,5,5,3,Everyday,2-3 times a week,Everyday,Everyday,Everyday,Female,Living with spouse,Peanut oil
2,1,0,2,153.0,70.0,69,5,0,5,5,3,5,Everyday,Never,Everyday,Everyday,2-3 times a week,Female,Single,Olive oil
1,2,1,0,159.0,70.0,85,3,1,5,4,5,1,2-3 times a week,Less than once a week,Everyday,4-6 times a week,Everyday,Male,Living with spouse,Butter
1,2,0,5,170.0,60.0,74,4,2,5,5,5,1,4-6 times a week,Once a week,Everyday,Everyday,Everyday,Male,Living with spouse,Butter
1,3,0,0,178.0,87.0,78,3,2,4,3,2,1,2-3 times a week,Once a week,4-6 times a week,2-3 times a week,Once a week,Male,Living with familty,Butter
1,2,1,2,172.0,86.0,73,2,5,5,5,1,4,Once a week,Everyday,Everyday,Everyday,Less than once a week,Male,Living with spouse,Sunflower oil
1,2,0,3,186.0,95.0,74,4,3,5,5,5,4,4-6 times a week,2-3 times a week,Everyday,Everyday,Everyday,Male,Living with spouse,Sunflower oil
